,Glossary Type,Term Name,Description,Usage Context,Associated Category Names,Service Line
171,Acronyms,MVP,Minimum Viable Product,MVP,,
182,Acronyms,PIEF,Personal Injury Education Foundation,PIEF,,
184,Customer,ScoreClassCode,FIMS is 20002<br>SCI is 20004<br>I can't get anything out for CANS and ASIA,FIMS is 20002<br>SCI is 20004<br>I can't get anything out for CANS and ASIA,Injured Person,Lifetime Care
191,Acronyms,MAA,Motor Accident Authority,MAA,,
194,Claims,Deductible/Excess,The total of all deductibles or excesses applied to this claim in whole dollars,The total of all deductibles or excesses applied to this claim in whole dollars,Claim,
197,Customer,Title,This is the participant's title: Mr; MS; MISS,This is the participant's title: Mr; MS; MISS,Injured Person,Lifetime Care
198,Acronyms,BPC,Builder Profile Change ,BPC,,
203,Acronyms,CAMEO,CEO and Ministerial Correspondence System,CAMEO,,
212,The Organization terms glossary,Quote,"A quote is a request for premium calculation for a workers compensation policy, made by either an employer or a broker on behalf of an<br>employer",Quote,,
214,Claims,Notifier,Is the person who reports the first Notification of a workplace Injury.,Is the person who reports the first Notification of a workplace Injury.,Claim,
217,Acronyms,CITC,"Customer, Innovation and Technology Committee (Old: TIC, Technology and Innovation Committee)",CITC,,
218,Acronyms,CAO,Claims Assistance Officer,CAO,,
220,The Organization terms glossary,Investigation,"The medical diagnosis, research and interview process that results in determining whether a case will be accepted by The Organization as a workplace<br>Dust Disease case. Includes capturing and comparing Industrial History and Medical History to other cases.",Investigation,,
221,Acronyms,SO,Senior Officer,SO,,
223,Acronyms,PRY,Policy Renewal Year&nbsp;,"<span style=""font-family: Arial; font-size: 11px;"">Policy Renewal Year</span>",,
227,Acronyms,PLO,Parliamentary Liaison Officer,PLO,,
228,Acronyms,HCCC,Health Care Complaints Commission,HCCC,,
231,Acronyms,WCA,WorkCover Authority,WCA,,
234,Acronyms,ESR,Employer Safety Reward,ESR,,
235,Acronyms,WRCE,WorkCover Research Centre of Excellence,WRCE,,
244,Acronyms,FAQ,Frequently asked question,FAQ,,
247,Acronyms,DACC,Demolition Asbestos Consultative Committee,DACC,,
252,Customer,Country,This is the country that the participant resides,This is the country that the participant resides,Injured Person,Lifetime Care
253,Acronyms,IMC,Injury Management Consultant,IMC,,
256,Acronyms,LPG,Legal Panel Gateway,LPG,,
261,Acronyms,PCN,Payment Classification Number,Payment Classification Number,,
264,Acronyms,PD,Performance Discount,PD,,
270,The Organization terms glossary,Payment,"A payment for a service provision, lump sum, weekly benefit or other financial outgoing as part of a claim or case. Includes recoveries for<br>overpayment, etc",Payment,,
271,Acronyms,COO,Chief Operating Officer,COO,,
272,Acronyms,Wpax,Workplace Assessment,Wpax,,
273,Acronyms,WISE,Work Injury Screening & Early Intervention,WISE,,
278,Acronyms,OBS,Organisational Breakdown Structure,OBS,,
280,Acronyms,INFRA,Knowledge management system used throughout WCA,INFRA,,
282,Acronyms,AMA,Australian Medical Association,AMA,,
284,Acronyms,CMT,Commercial Management Team,CMT,,
290,Acronyms,RIS,Regulatory Impact Statement,RIS,,
299,Acronyms,STI,Soft Tissue Injury,STI,,
302,Acronyms,ODPP,Office of the Director of Public Prosecutions,ODPP,,
309,Acronyms,QLD,Queensland,QLD,,
310,Acronyms,LPU,Licence Processing Unit,LPU,,
312,Acronyms,PSRMA,Public Sector Risk Managers Association,PSRMA,,
317,Acronyms,CFO,Chief Financial Officer,CFO,,
319,Acronyms,SI,Self Insurance,SI,,
320,Acronyms,HSPs,Hearing Services Providers,HSPs,,
321,Acronyms,WA,Western Australia,WA,,
323,Acronyms,DOCS,Department of Community Services,DOCS,,
324,Acronyms,TMF,"Treasury Managed Fund, TMF agencies = public sector agencies insured through the TMF.",TMF,,
326,Acronyms,SJSE,Same job same employer,SJSE,,
328,Acronyms,NOHSC,National Occupational Health & Safety Commission (then became ASCC now SWA),NOHSC,,
330,Acronyms,HACE,Health & Community Engagement (also shorten to HCE),HACE,,
338,Acronyms,CDP,Customer Design Principles,CDP,,
342,Acronyms,LPR,Loss Prevention and Recovery,LPR,,
344,Acronyms,ABS,Australian Bureau of Statistics,ABS,,
346,Acronyms,RTDM,Run Time Decision Manager,RTDM,,
349,The Organization terms glossary,Investigator,Someone who carries out research and observation activities with a view to providing specialist evidence or findings related to a claim or case,Investigator,,
352,Acronyms,IRG,"Industry Reference Groups (created by legislation), also Industry Relationships Group",IRG,,
355,Acronyms,AIG,Australian Industry Group,AIG,,
359,Acronyms,ABN,Australian Business Number (Source:ATO),ABN,,
360,Acronyms,ABN,Australian Business Number (Source:ATO),ABN,,
372,Customer,Dob,This is the participant's date of birth,This is the participant's date of birth,Injured Person,Lifetime Care
373,Acronyms,LMA,Labour Market Analysis,LMA,,
376,Acronyms,OA,"Operations & Assurance (old, now BIA)",OA,,
379,Acronyms,WHS,Work Health and Safety,WHS,,
382,Acronyms,KPI,Key Performance Indicator,KPI,,
384,Acronyms,SPD,Strategy and Policy Division,SPD,,
386,Acronyms,SS,Service Standards,SS,,
387,Acronyms,WII,Workers Insurance Initiative,WII,,
392,Acronyms,CMA,Chief Medical Advisor,CMA,,
393,Customer,Worker,"Means a Worker within the meaning of the 1987 Act and includes a deemed Worker within the meaning of the 1998 Act, and an injured Worker who is/or may be entitled to Benefits under the 1987 Act and/or the 1998 Act.","Means a Worker within the meaning of the 1987 Act and includes a deemed Worker within the meaning of the 1998 Act, and an injured Worker who is/or may be entitled to Benefits under the 1987 Act and/or the 1998 Act.",Injured Person,"Workers Insurance,
Dust Disease Care,
Lifetime Care"
394,Acronyms,IPC,Independent Physio Consultant,IPC,,
399,Acronyms,MOU,Memorandum of Understanding,MOU,,
402,Acronyms,EIN,Early Injury Notification,EIN,,
409,Acronyms,BTIC,Technology and Innovation Committee Board,BTIC,,
412,Customer,Name,This is the participants full name,This is the participants full name,Injured Person,Lifetime Care
413,Acronyms,ATO,Australian Taxation Office (ATO),ATO,,
415,Acronyms,PWG,Project Working Group,PWG,,
417,Acronyms,CDA,Customer Design Authority,CDA,,
431,Acronyms,LACs,Learning Advisory Committee ,LACs,,
439,Acronyms,PACE,Plan of Action for the Case&nbsp;&nbsp;,PACE,,
445,Acronyms,FLAIR,Finance Leading Accurate Intelligence Real-time (The Organization's Financial System),FLAIR,,
449,Acronyms,SP,Social Prescription,SP,,
450,Acronyms,SAS,Statistical Analysis Software (Advance Analytics Platform),SAS,,
451,Acronyms,L&D,Learning and Development,L&D,,
458,Acronyms,SES,Senior Executive Service,SES,,
460,Acronyms,MLT,Management Leadership Team,MLT,,
462,Acronyms,SIRA,State Insurance Regulatory Authority,SIRA,,
467,Acronyms,SCF,Substantially Contributing Factor,SCF,,
469,Acronyms,ACN,Australian Company Number (Source:ASIC),ACN,,
470,Acronyms,TTW,Transition to Work,TTW,,
472,Acronyms,GIPA,"Government Information Public Access (GIPA) Act (NSW, replaces FOI)",GIPA,,
481,Acronyms,RA,Receiving Agent,RA,,
485,Acronyms,MSP,Medical Support Panel,MSP,,
487,Acronyms,FTE,Full time equivalent (an employee count),FTE,,
488,Acronyms,Tx,Treatment ,Tx ,,
495,Acronyms,EAP,Employee Assistance Program,EAP,,
496,The Organization terms glossary,Fund,"The fund or levy under which the particular insurance or care type operates, i.e. where the money comes from.<br>Includes:<br>•Workers Compensation Insurance Fund<br>•Treasury Managed Fund<br>•Construction Risk Insurance Fund<br>•Bushfire Fighters Compensation Fund<br>•Emergency and Rescue Workers Compensation Fund<br>•Supplementary Sporting Injuries Fund<br>•Home Building Compensation Fund",Fund,,
499,Acronyms,EOM,End Of Month,EOM,,
501,Acronyms,OSS,Office Support Services,OSS,,
502,Acronyms,VOC,Vocational Assesment&nbsp;&nbsp;or Voc Ax,VOC,,
508,Acronyms,TOM,Target Operation Model,TOM,,
509,Acronyms,CRT,Complaints Resolution Team,CRT,,
514,Acronyms,CPA,Claims Performance Adjustment,CPA,,
516,Acronyms,MCM,Mobile Case Management,MCM,,
525,The Organization terms glossary,Claim,"A claim is a formal request for rehabilitation and/or compensation when an employee suffers an injury or disease during the course of their<br>work, where a formal liability request is made to The Organization for compensation.<br>Includes lawsuits where The Organization is being sued.",Claim,,
532,Acronyms,PPIs,Positive Performance Indicators,PPIs,,
533,Acronyms,NTS,Nominated Treating Specialist,NTS,,
545,Acronyms,MBA,Master Builders Association,MBA,,
547,Acronyms,PSO,Program-/Portfolio-/Project Support Officer / Project Services Orders,PSO,,
549,Acronyms,NTD,Nominated Treating Doctor,NTD,,
554,Acronyms,CX,Customer Experience,CX,,
557,Acronyms,CAN,Care Assessment Need,CAN,,
559,Acronyms,TAS,Tasmania,TAS,,
569,Acronyms,TRIM,Total Records and Information Management system,TRIM,,
572,Customer,Company,An incorporated body with separate legal existence,An incorporated body with separate legal existence,Employer,Workers Insurance
577,Acronyms,IM,Injury Management,IM,,
593,Acronyms,SIM,Severely Injury Management,SIM,,
595,The Organization terms glossary,Dependent,Someone for whom The Organization has a specific legal responsibility who is not an injured participant.<br>Includes:<br>•Someone who was financially dependent on a worker who contracted a dust disease (such as spouse or children)<br>•Someone who was financially dependent on a worker who suffers a fatality in the workplace<br>Note: Lifetime Care does not cover dependents.,Dependent,,
597,Acronyms,GRC,"Governance, Risk & Compliance",GRC,,
598,The Organization terms glossary,Partnerships,"Research bodies, councils and institutes that we may work with to further our understanding in specific areas and improve our services<br>Example: John Walsh Centre",Partnerships,,
605,Acronyms,WCIF,Workers Compensation Insurance Fund,WCIF,,
610,Acronyms,CTM,Claims Technical Manual,CTM,,
613,Acronyms,Mx,Management ,Mx ,,
617,Acronyms,GTA,Group Trading Agreement ,GTA,,
626,Acronyms,PMR,Performance Management Register,PMR,,
632,Acronyms,ASCO,Australian Standard Classification of Occupations,<p>Australian Standard Classification of Occupations<br></p>,,
633,Acronyms,IPN,Independent Practitioner&nbsp;&nbsp;Network,IPN,,
641,Acronyms,BRD,Better Regulation Division,BRD,,
642,Acronyms,SSSG,Strategic Specialist Services Group,SSSG,,
646,Acronyms,CMS,Case Management System,CMS,,
647,Acronyms,WRS,Wage Reimbursement Schedule ,WRS,,
652,Acronyms,UTP,Unified Technology Platform (also see NISP),UTP,,
655,Acronyms,CCR,Case Conference (GIO),CCR,,
657,Customer,Postcode,This is the postcode for the participant's residence,This is the postcode for the participant's residence,Injured Person,Lifetime Care
665,The Organization terms glossary,Builder,A builder or developer who require certification for construction work carried out in NSW.,Builder,,
667,Acronyms,ECA,Earning Capacity Assessment,ECA,,
670,Acronyms,LSPC,Long Service Payments Corporation,LSPC,,
679,Acronyms,NEC,Not Elsewhere Classified,NEC,,
683,Acronyms,HCM,Human Capital Management,HCM,,
692,Acronyms,BI,Business Intelligence,BI,,
698,Acronyms,CSC,Customer Service Team -&nbsp;&nbsp;SNSW front line call centre team ,CSC,,
699,Acronyms,ASDB,Agent Service Delivery Branch (WCD),ASDB,,
703,Acronyms,LTCS,Lifetime Care Support,LTCS,,
704,Acronyms,LHT,Long Haul Trucking,LHT,,
708,Acronyms,Non-TMF,Public sector agencies insured outside of the TMF (either self insured or insured through the WorkCover Scheme),Non-TMF,,
723,Customer,ExaminerName,This is the medical examiners name,This is the medical examiners name,Injured Person,Lifetime Care
733,Acronyms,DGEC,Directors General Executive Committee,DGEC,,
734,Acronyms,PAF,Postal Address File (PAF) [Source:Australia Post),"<span style=""font-family: Arial; font-size: 11px;"">Postal Address File (PAF) [Source:Australia Post)</span>",,
737,Acronyms,JCPP,JobCover Placement Program,JCPP,,
742,Acronyms,ADHC,(Department of) Ageing Disability & Home Care (NSW),ADHC,,
744,Acronyms,RCAC,"Risk, Audit and Compliance Committee",RCAC,,
745,Customer,State,This is the state of the participant's residence,This is the state of the participant's residence,Injured Person,Lifetime Care
748,Acronyms,OMS,Operational Management System (relates to CDR),OMS,,
751,Acronyms,PID,Pre-Injury Duties,PID ,,
754,Acronyms,WAS,"Workcover Assistance Service (is part of Comms Branch, part of CSD)",WAS,,
755,Acronyms,OFR,Outcome Focus Review,OFR,,
759,Acronyms,ANZSCO,Australian and New Zealand Standard Classification of Occupations (Source:ABS),ANZSCO,,
760,Acronyms,DDC,Dust Diseases Care,DDC,,
762,Acronyms,PER,Programmed Eligibility Reviews ,PER,,
764,Acronyms,CIMS,Claims and Insurance Management System,CIMS,,
765,Acronyms,SMG,Senior Management Group,SMG,,
769,Acronyms,DET,Department of Education and Training (NSW),DET,,
776,Acronyms,CMC,"Change Management and Communications (old, now CML & CD)",CMC,,
778,Acronyms,APP,Average Payment Premium,APP,,
784,Acronyms,SPR,Structured Progress Review,SPR,,
786,Acronyms,EDW,Enterprise Data Warehouse,EDW,,
787,Acronyms,NSWFA,NSW Farmers Association (CEO mtgs),NSWFA,,
788,Acronyms,REM,Report End of Month / Remumeration,REM,,
798,Acronyms,RTW,Return to Work,RTW,,
809,Acronyms,PCO,Parliamentary Counsels Office,PCO,,
812,Acronyms,WSI,Work Status Index,WSI,,
813,Acronyms,DN,Direction Notice,DN,,
817,Acronyms,RTA,Roads and Traffic Authority (relates to RMS),RTA,,
824,Acronyms,SMBs,Small to Medium Businesses,SMBs,,
825,Acronyms,AIS,Apprentice Incentive Scheme,AIS ,,
827,The Organization terms glossary,Exposure,Interaction with contaminant that may led to a dust disease.,Exposure,,
841,Acronyms,NSI,Non-Significant Injury,NSI,,
842,Acronyms,CMU,Change Management Unit ,CMU,,
843,Acronyms,ODG,Official Disability Guidelines&nbsp;&nbsp;(evidence based RTW guidelines),ODG,,
849,Acronyms,PII,Personally Identifiable Information,PII,,
850,Acronyms,DJJ,Department of Juvenile Justice (NSW),DJJ,,
853,Acronyms,FOI,Freedom of Information,FOI,,
854,The Organization terms glossary,Accident,The situation or event resulting in personal injury that led to a case. Includes motor vehicle accidents,Accident,,
860,Acronyms,COE,Certificate of Eligibility ,COE,,
861,Acronyms,MMI,Maximum Medical Improvement,MMI,,
867,Acronyms,PRPB,Policy Regulation and Planning Branch,PRPB,,
868,Acronyms,PPM,Project & Portfolio Manager ,PPM,,
872,Customer,Relationship,A code to identify the relationship of the dependant to the claimant.,A code to identify the relationship of the dependant to the claimant.,Dependant,"Workers Insurance,
Dust Disease Care,
Lifetime Care"
873,Acronyms,TCs,Team Coordinators - OHSD,TCs,,
874,Acronyms,CAC,Customer Advocacy Council,CAC,,
879,Acronyms,BT,Business Technology,BT,,
880,Acronyms,EA,Executive Assistant,EA,,
886,Acronyms,PPIP,Privacy & Personal Information Protection Act 1988,PPIP,,
887,Partner,Solicitor,A person employed to conduct legal proceedings or to advise on legal matters,A person employed to conduct legal proceedings or to advise on legal matters,Service Provider,"Workers Compensation Insurance,
Self Insurance"
889,Acronyms,ASIC,Australian Securities & Investment Commission,ASIC,,
893,Acronyms,CDE,Critical Data Element,CDE,,
894,The Organization terms glossary,Scheme,The legal provision for a particular type of insurance or care.<br>Includes:<br>•Workers Compensation Scheme<br>•Care and Support Scheme<br>•Dust Diseases Authority<br>•NSW Self Insurance Corporation (SICorp)<br>•Sporting Injuries Insurance Scheme,Scheme,,
905,Acronyms,RBA,Results Based Accountability,RBA,,
910,Customer,Cluster,Super Agency to which the TMF agency is grouped underthe current machhinery of Gov structure,Super Agency to which the TMF agency is grouped underthe current machhinery of Gov structure,NSW Gov't Agency,Self Insurance
912,Acronyms,SA,South Australia,SA,,
913,Acronyms,HLOG,High Level Officials Group (HLOG),HLOG,,
916,Acronyms,PMO,Project Management Office,PMO,,
918,Acronyms,PIS,Permanent Impairment Specialist,PIS,,
922,Acronyms,PCBU,Person conducting a business or undertaking,PCBU,,
923,Acronyms,TSB,Technology Sounding Board,TSB,,
925,Acronyms,DLM,Dissemination Limiting Markers,Dissemination Limiting Markers,,
930,Acronyms,NSWBC,NSW Business Chamber,NSWBC,,
944,Acronyms,MEO,Medical Expenses Only,MEO,,
945,Acronyms,WI,Workers Insurance,WI,,
950,Acronyms,WPMA,WorkCover Project Management Approach,WPMA,,
952,Acronyms,ILARS,Independent legal assistance and review service,ILARS,,
955,Acronyms,BEAT,Builder Eligibility Assessment Tool ,BEAT,,
957,Acronyms,GM,General Manager,GM,,
959,Acronyms,WIRO,Workers Compensation Independent Review Office,WIRO,,
961,Acronyms,QVF,Qlik View File,QVF,,
974,Acronyms,CRM,Customer Relationship Management system (Salesforce),CRM,,
995,Acronyms,ICD,International Classsification for Diseases,ICD,,
996,Acronyms,ERT,Employment Relations Team,ERT,,
997,Acronyms,AMS,Approved Medical Specialist,AMS,,
998,Customer,Suburb,This is the suburb of the participant's residence,This is the suburb of the participant's residence,Injured Person,Lifetime Care
1000,Acronyms,TIC,"Technology and Innovation Committee (old, now CITC)",TIC,,
1008,Acronyms,SaaS,Software as a Service,SaaS,,
1009,Acronyms,IfNSW,<p>Insurance for New South Wales&nbsp;</p>,"<span style=""font-family: Arial; font-size: 11px;"">Insurance for New South Wales</span>",,
1011,Acronyms,SWP,Spokeswoman's Programs,SWP,,
1013,Acronyms,CVP,Customer Value Proposition,CVP,,
1028,Acronyms,MSPA,Mining services premium adjustment,MSPA,,
1029,Acronyms,OSC,Online Service Centre,OSC,,
1035,Claims,Commutation,"Means an agreement to commute a liability to a lump sum, within the meaning of Part 3 of the 1987 Act.","Means an agreement to commute a liability to a lump sum, within the meaning of Part 3 of the 1987 Act.",Claim,
1039,Acronyms,BCP,Business Continuity Plan,BCP,,
1064,The Organization terms glossary,Unions,Organisations that represent employees within the workplace<br>Example: AWU,Unions,,
1067,Acronyms,Sols,Solicitor,Sols,,
1075,Acronyms,ITC,Input Tax Credits,ITC,,
1086,Acronyms,MARC,Most At Risk Customers,MARC,,
1090,Acronyms,NCAT,NSW Civil and Administrative Tribunal ,NCAT,,
1094,Customer,Email,This is the participant's email address,This is the participant's email address,Injured Person,Lifetime Care
1098,Acronyms,BIA,Business Improvement & Assurance,BIA,,
1105,Acronyms,BIP,"Business Improvement & Performance (old, now BIA)",BIP,,
1107,Acronyms,NWL,National Workplace Health & Safety Legislation ,NWL,,
1109,Policy,Reversal,The removal of a fee that was incorrectly charged to an employer.&nbsp;&nbsp;For example:<br>Unnecessary automatic renewal <br>Late payment fee rate charged was incorrect <br>Employer had paid the debt but the Scheme Agent had not correctly allocated the <br>payment to the applicable debt <br>The amount owing was paid past the due date but within the days of grace period.,The removal of a fee that was incorrectly charged to an employer.&nbsp;&nbsp;For example:<br>Unnecessary automatic renewal <br>Late payment fee rate charged was incorrect <br>Employer had paid the debt but the Scheme Agent had not correctly allocated the <br>payment to the applicable debt <br>The amount owing was paid past the due date but within the days of grace period.,Premium Payment,Workers Insurance
1112,Acronyms,CLP,Common Law Payments,CLP,,
1117,Acronyms,RMT,Response Management Team - OHSD,RMT,,
1118,Acronyms,CAS,Claims Assistance Service: part of Communications Group (CSD) ,CAS,,
1123,Acronyms,NFR,Non Functional Requirement,NFR,,
1124,Acronyms,PIAWE,Pre injury Average Weekly Earnings,PIAWE,,
1125,Acronyms,HBCF,Home Building Compensation Fund,HBCF,,
1127,Acronyms,WID,Work Injury Damages,WID,,
1129,Acronyms,WOW,Ways of Working,WOW,,
1130,Acronyms,ARB,Architect Review Board,ARB,,
1133,Acronyms,AWE,Average Weekly Earnings,AWE,,
1136,Acronyms,OOTB,Out of the Box,OOTB,,
1140,Acronyms,EWT,Essential Workplace Training,EWT,,
1144,Acronyms,EGM,Executive General Manager ,EGM,,
1145,Acronyms,DD,Direct Debt Request Form,DD,,
1149,Acronyms,ASOS,Australian Society of Orthopaedic Surgeons,ASOS,,
1151,Acronyms,IMP,Injury Management Plan,IMP,,
1154,Acronyms,OATS,"Operational and Tactical Support Group,a&nbsp;&nbsp;group in OHSD",OATS,,
1155,Acronyms,ABR,Australian Business Register (Source:ATO),ABR,,
1157,Acronyms,SPU,Strategic Policy Unit,SPU,,
1161,Acronyms,ARA,Australian Retailers Association,ARA,,
1164,Acronyms,VIP,Vocational Intervention Program,VIP,,
1166,Acronyms,WSS,Worker Status Service,WSS,,
1169,Acronyms,SLAM,Strategic Licensing Assessment and Management,SLAM,,
1175,Acronyms,AFEI,Australian Federation of Employers & Industries (Emps Fed),AFEI,,
1176,Acronyms,CDR,Corporate Data Repository (SIRA Database for Workers Insurance),CDR,,
1178,Acronyms,BCRP,Building Contract Review Program ,BCRP,,
1179,Claims,AWE,"The NSW Wage Price Index as reported by the Australian Bureau of Statistics in the publication 6345.0 Table 10 & if this Index is not available for whatever reason, it shall be the Index determined by the Scheme Actuary as an appropriate substitute Index.","The NSW Wage Price Index as reported by the Australian Bureau of Statistics in the publication 6345.0 Table 10 & if this Index is not available for whatever reason, it shall be the Index determined by the Scheme Actuary as an appropriate substitute Index.",Claim,
1183,Acronyms,NISP,Nominal Insurer Single Platform (NISP),NISP,,
1184,Acronyms,EEO,Equal Employment Opportunity,EEO,,
1189,The Organization terms glossary,Case,An ongoing dedicated commitment by The Organization to fund someone’s care needs. Initially this commitment is two years.,Case,,
1192,Acronyms,PCIDSS,Payment Card Industry Data Security Standard,PCIDSS,,
1197,Acronyms,SESIAHS,South East Sydney Illawarra Area Health Service,SESIAHS,,
1198,Acronyms,CCA,Cement Concrete Aggregates,CCA,,
1201,Acronyms,LTC,Lifetime Care,LTC,,
1202,Acronyms,ECM,Enterprise Content Management,ECM,,
1207,Acronyms,CHIP,Complaints Handling Improvement Process ,CHIP,,
1210,Acronyms,SPDSU,Strategic Projects and Divisional Support Unit,SPDSU,,
1212,Acronyms,VRP,Vocational Retraining Program,VRP,,
1215,Acronyms,RTWI,Return to Work Incentive,RTWI,,
1224,Acronyms,VIC,Victoria,VIC,,
1225,Acronyms,PDS,Product Development & Support,PDS,,
1226,Acronyms,EMSU,"Executive & Ministerial Services Unit, part of Strategy & Policy Division",EMSU,,
1227,Acronyms,NWB,Non Weight Bearing,NWB,,
1228,Acronyms,CML,"Change Management and Learning (old, now CD)",CML,,
1233,Acronyms,DARB,Data & Analytics Review Board,DARB,,
1234,Acronyms,WRP,Workplace Rehabilitation Provider,WRP,,
1235,Acronyms,HICC,Housing Industry Consultative Committee,HICC,,
1237,Acronyms,DPI,Department of Primary Industries (NSW),DPI,,
1245,Acronyms,LPI,Land and Property Information ,LPI,,
1248,Customer,Employer,"Means a business (including an individual) that employs or hires Workers or deemed Workers within the meaning of the 1987 Act and the 1998 Act on a full-time, part-time or casual basis, under an oral or written contract of service or apprenticeship.","Means a business (including an individual) that employs or hires Workers or deemed Workers within the meaning of the 1987 Act and the 1998 Act on a full-time, part-time or casual basis, under an oral or written contract of service or apprenticeship.",Employer,Workers Insurance
1251,Acronyms,IPO,Insurance Premium Order,IPO,,
1252,Acronyms,OOHC,Out of home care,OOHC,,
1257,Acronyms,DG,Data Governance,DG,,
1262,Acronyms,FIM,Functional Independence Measure,FIM,,
1265,Acronyms,EML,Employers Mutual Limited,EML,,
1270,DataItems,DateOfBirth,Date of Birth,Date of Birth,,
1271,DataItems,DateOfBirth,Date of Birth,Date of Birth,,
1272,Acronyms,NPS,Net Promoter Score,NPS,,
1273,Acronyms,Qlik,Qlik Sense (Operational Anaytics Platform),Qlik,,
1278,Acronyms,SIP,Severely Injured Person,SIP ,,
1279,Acronyms,DQ,Data Quality,DQ,,
1282,Acronyms,SBI,Statement of Business Intent,SBI,,
1284,Acronyms,DIAC,Department of Immigration and Citizenship,DIAC,,
1286,Acronyms,MLC,Member of Legislative Council,MLC,,
1295,Acronyms,SE,Suitable Employment,SE,,
1299,The Organization terms glossary,Employer,"A business (including an individual) that employs or hires workers on a full-time, part-time or casual basis, under an oral or written contract of service or apprenticeship or traineeship.<br>Categories of employers include:<br>•Relationship managed employers – The Organization personally manages the relationship with the employer to manage their policy<br>•Experience rated employers – medium and large employers are ""experience-rated"" with an average performance premium (total wages x your industry rate) greater than $30,000<br>•Mainstream employers – all other employers<br>Employers are categorised according to a matrix:<br>•By size<br>•By industry type<br>•By intermediary (broker)",Employer,,
1300,Acronyms,COI,Certificate of Insurance ,COI,,
1305,Acronyms,OT,Occupational Therapy/therapist,OT,,
1306,Acronyms,TRaC,"Treatment, Rehabilitation and Care",TRaC,,
